player, team, num, position, gp, pts, goals, ast, onePt, onePtPct, twoPt, twoPtPct, sh, shPct, sog, to, ct, gb, fo, foPct
Tyler Dunn,RED,23,Midfield,5,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,0,0,1,5,2-15,13.3%
Jules Heningburg,RED,7,Attack,10,33,21,12,21-54,38.8%,0-0,0.0%,54,38.8%,32,21,0,8,0-0,0.0%
Wes Berg,RED,55,Attack,5,4,4,0,4-8,50.0%,0-0,0.0%,8,50.0%,7,3,0,4,0-0,0.0%
Jerry Ragonese,RED,37,Faceoff,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,0,6-20,30.0%
Ben Reeves,WHP,2,Attack,8,13,6,7,6-23,26.0%,0-3,0.0%,26,23.0%,17,7,0,9,0-0,
Brett Schmidt,WHP,44,Defense,5,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,2,2,0-0,0.0%
Bryce Young,WHP,6,Defense,10,5,2,3,2-4,50.0%,0-2,0.0%,6,33.3%,3,6,12,34,0-0,0.0%
Charlie Raffa,WHP,-,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Connor Kelly,WHP,40,Midfield,8,18,10,8,10-40,25.0%,0-1,0.0%,41,24.3%,21,7,1,3,0-0,0.0%
Dan Morris,WHP,8,Goalie,4,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Drew Snider,WHP,23,Midfield,10,9,6,3,6-29,20.6%,0-1,0.0%,30,20.0%,20,3,5,12,0-0,0.0%
Dylan Maltz,WHP,10,Attack,3,0,0,0,0-7,0.0%,0-0,0.0%,7,0.0%,5,0,0,1,0-0,0.0%
Dylan O’Shaughnessy,WHP,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Foster Huggins,WHP,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Jake Bernhardt,WHP,83,Midfield,9,7,5,2,5-17,29.4%,0-3,0.0%,20,25.0%,13,6,3,7,0-1,0.0%
Jay Carlson,WHP,32,Attack,4,5,3,2,3-12,25.0%,0-0,0.0%,12,25.0%,8,1,0,5,0-0,0.0%
Jeff Reynolds,WHP,21,Midfield,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%
Jeremy Sieverts,WHP,14,Midfield,4,4,3,1,3-10,30.0%,0-0,0.0%,10,30.0%,5,2,0,0,0-0,0.0%
Joe Locascio,WHP,5,Midfield,8,5,3,2,3-18,16.6%,0-5,0.0%,23,13.0%,9,4,0,2,0-0,0.0%
Joseph Nardella,WHP,91,Faceoff,10,12,6,6,6-15,40.0%,0-0,0.0%,15,40.0%,9,8,4,72,127-234,54.2%
Kevin Cooper,WHP,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Kyle Bernlohr,WHP,35,Goalie,10,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,5,1,14,0-0,0.0%
Matt Rambo,WHP,9,Attack,10,42,19,23,19-66,28.7%,0-0,0.0%,66,28.7%,34,20,0,9,0-0,0.0%
Matthew Dunn,WHP,33,Defense,10,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,1,6,3,15,0-0,0.0%
Michael Ehrhardt,WHP,28,Defense,9,13,5,5,2-7,28.5%,3-13,23.0%,20,25.0%,14,2,6,25,4-12,33.3%
Mike Chanenchuk,WHP,1,Midfield,10,26,15,4,8-41,19.5%,7-24,29.1%,65,23.0%,31,11,0,2,0-0,0.0%
Ryan Drenner,WHP,22,Attack,10,21,19,1,18-59,30.5%,1-2,50.0%,61,31.1%,37,6,0,10,0-0,0.0%
Tim Muller,WHP,36,Defense,10,1,1,0,1-1,100.0%,0-0,0.0%,1,100.0%,1,1,6,19,0-0,0.0%
Tim Rotanz,WHP,20,Midfield,4,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,1,0,0,2,0-0,0.0%
Tyler Warner,WHP,13,Midfield,10,1,1,0,1-2,50.0%,0-2,0.0%,4,25.0%,1,0,5,18,0-0,0.0%
Isaac Paparo,WHP,43,Defense,5,1,1,0,1-1,100.0%,0-0,0.0%,1,100.0%,1,2,3,5,2-10,20.0%
John Haus,WHP,26,Midfield,8,13,8,4,7-26,26.9%,1-5,20.0%,31,25.8%,15,3,3,8,0-0,0.0%
Joseph McCallion,WHP,3,Midfield,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,0,0-0,0.0%
James Barclay,WHP,45,Defense,4,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,1,0-0,0.0%
